city,classification
New Delhi,Tier 1
Hyderabad,Tier 1
Chennai,Tier 1
Mumbai,Tier 1
Delhi,Tier 1
Kolkata,Tier 1
Bengaluru,Tier 1
Surat,Tier 2
Indore,Tier 2
Thrissur,Tier 2
Visakhapatnam,Tier 2
Kanpur,Tier 2
Jabalpur,Tier 2
Gandhinagar,Tier 2
Gwalior,Tier 2
Lucknow,Tier 2
Patna,Tier 2
Vadodara,Tier 2
Ahmedabad,Tier 2
Pune,Tier 2
Bhopal,Tier 2
Jaipur,Tier 2
Nagpur,Tier 2
Vijayawada,Tier 3
Thiruvananthapuram,Tier 3
Patiala,Tier 3
Salem,Tier 3
Amritsar,Tier 3
Kochi,Tier 3
Kannur,Tier 3
Raipur,Tier 3
Ranchi,Tier 3
Faridabad,Tier 3
Chandigarh,Tier 3
Tiruvannamalai,Tier 3
Guntur,Tier 3
Bhavnagar,Tier 3
Bhubaneswar,Tier 3
Kurnool,Tier 3
Aligarh,Tier 3
Bhilai,Tier 3
Jodhpur,Tier 3
Roorkee,Tier 3
Dhanbad,Tier 3
Coimbatore,Tier 3
Solapur,Tier 3
Gorakhpur,Tier 3
Tirunelveli,Tier 3
Aurangabad,Tier 3
Warangal,Tier 3
Jamshedpur,Tier 3
Mysuru,Tier 3
Mangaluru,Tier 3
Agra,Tier 3
Ludhiana,Tier 3
Nellore,Tier 3
Jammu,Tier 3
Puducherry,Tier 3
Rajkot,Tier 3
Jamnagar,Tier 3
Prayagraj,Tier 3
Vellore,Tier 3
Kollam,Tier 3
Dehradun,Tier 3
Meerut,Tier 3
Sangli,Tier 3
Nashik,Tier 3
Srinagar,Tier 3
Hajipur,Tier 3
Tiruchirappalli,Tier 3
Hubballi-Dharwad,Tier 3
Etawah,Tier 3
Guwahati,Tier 3
Kozhikode,Tier 3
Amravati,Tier 3
Varanasi,Tier 3
Madurai,Tier 3
Anand,Tier 3