,FirstOrderDate,marketing_channel,CV_90,customer_count
0,2022-12-12,Direct/SEO,817.7777777777778,382
1,2023-07-26,Facebook,917.7665369649806,489
2,2023-10-04,Google,655.8864864864864,182
3,2022-09-19,Direct/SEO,755.1006160164271,442
4,2023-10-03,Direct/SEO,771.2194444444444,334
5,2023-07-14,Direct/SEO,788.3769696969697,745
6,2023-01-01,Google,508.1159420289855,68
7,2023-03-02,Others,654.4144736842105,449
8,2023-04-10,Direct/SEO,808.381495564005,732
9,2022-10-04,Direct/SEO,632.3467980295567,962
10,2022-10-30,Direct/SEO,1335.85350877193,1040
11,2023-09-13,Direct/SEO,693.2569169960474,474
12,2023-12-03,Others,576.4046511627907,1072
13,2024-02-23,Facebook,684.3504531722054,328
14,2023-08-06,Affiliate,463.9310344827586,29
15,2022-11-04,Others,497.7504244482173,559
16,2023-08-21,Others,585.3269230769231,257
17,2022-10-07,MyRewards,335.768115942029,69
18,2023-11-09,Others,697.4709762532982,753
19,2023-11-29,Others,619.2912087912088,182
20,2023-01-29,Direct/SEO,746.1283138918345,877
21,2023-07-20,Google,878.16,48
22,2023-03-02,Instagram,319.57142857142856,13
23,2023-10-27,Google,702.937984496124,128
24,2024-02-14,Others,656.9418316831683,804
25,2023-05-16,Others,730.9767441860465,509
26,2024-02-03,Others,656.3333333333334,706
27,2023-08-06,Others,555.3280346820809,683
28,2022-10-13,Others,456.33098591549293,539
29,2022-10-22,MyRewards,351.57142857142856,28
30,2022-11-04,Instagram,407.5,52
31,2022-12-06,Others,540.6466666666666,135
32,2023-12-29,Direct/SEO,658.7320143884892,541
33,2023-10-08,Facebook,704.398773006135,644
34,2023-01-18,Facebook,638.8936170212766,47
35,2023-07-24,Others,796.9331550802139,365
36,2023-05-16,Affiliate,488.17391304347825,22
37,2023-11-26,Facebook,685.6795774647887,281
38,2023-02-11,MyRewards,393.54285714285714,65
39,2023-07-24,Affiliate,835.1666666666666,12
40,2023-07-20,MyRewards,474.75,35
41,2023-06-23,Google,978.9767441860465,40
42,2023-07-17,Others,755.0291262135922,102
43,2023-12-10,Affiliate,1039.0,1
44,2023-01-13,Google,463.0416666666667,48
45,2024-01-11,Others,662.1232876712329,145
46,2022-12-26,Facebook,586.4688644688645,260
47,2023-04-26,Others,708.6530612244898,389
48,2023-04-26,Instagram,391.6923076923077,37
49,2023-12-10,Others,620.4807692307693,52
50,2023-01-13,MyRewards,371.7415730337079,89
51,2023-01-01,MyRewards,373.5934065934066,89
52,2023-10-20,Google,707.0875,79
53,2023-11-03,Direct/SEO,851.202380952381,74
54,2022-10-07,Google,393.01851851851853,52
55,2022-12-06,Instagram,511.75,8
56,2023-02-05,Others,761.3916666666667,113
57,2024-02-14,Instagram,1125.0,1
58,2023-10-05,Google,662.1911764705883,65
59,2023-10-04,MyRewards,523.0526315789474,37
60,2023-01-28,MyRewards,265.8181818181818,66
61,2023-02-11,Google,646.2439024390244,37
62,2023-10-27,MyRewards,569.3684210526316,19
63,2023-04-09,Others,666.1272727272727,55
64,2023-02-05,Instagram,239.0,5
65,2023-07-17,Affiliate,804.6,10
66,2022-10-13,Instagram,349.96,25
67,2023-10-24,Google,655.3695652173913,45
68,2023-10-05,MyRewards,556.3636363636364,11
69,2023-05-23,MyRewards,365.625,8
70,2024-02-14,Affiliate,541.4375,16
71,2022-10-22,Google,556.0666666666667,13
72,2023-11-09,Affiliate,859.1764705882352,16
73,2023-08-06,Instagram,220.88888888888889,9
74,2023-07-16,Google,981.9473684210526,37
75,2023-07-16,MyRewards,427.8333333333333,18
76,2023-04-26,Affiliate,696.8571428571429,7
77,2023-04-09,Instagram,295.0,5
78,2023-01-28,Google,652.2272727272727,21
79,2024-02-03,Affiliate,841.625,7
80,2023-10-20,MyRewards,599.1111111111111,9
81,2023-05-16,Instagram,549.7272727272727,11
82,2023-11-09,Instagram,312.0,2
83,2023-08-21,Affiliate,1698.6,5
84,2024-01-11,Affiliate,924.5,2
85,2023-07-24,Instagram,682.4,10
86,2023-12-03,Instagram,459.5,2
87,2023-05-23,Google,720.5,6
88,2024-01-11,Instagram,1125.0,1
89,2023-06-23,MyRewards,474.0,2
90,2023-07-17,Instagram,606.3333333333334,3
91,2022-09-17,CashKaro,1499.0,1
92,2023-10-24,MyRewards,572.625,8
93,2022-10-13,Affiliate,112.0,1
94,2022-11-04,Affiliate,419.0,3
95,2023-11-29,Instagram,1125.0,1
96,2022-09-29,CashKaro,0.0,1
97,2023-11-29,Affiliate,199.0,1
98,2023-02-10,Facebook,578.1458333333334,541
99,2022-11-04,Direct/SEO,661.2010347376201,1250
100,2023-07-17,Direct/SEO,918.5064102564103,270
101,2024-01-11,Direct/SEO,809.4769874476988,218
102,2023-08-06,Direct/SEO,778.4288461538462,961
103,2024-02-14,Direct/SEO,700.533734939759,800
104,2023-11-09,Direct/SEO,795.4613368283093,740
105,2023-03-27,Google,579.5,59
106,2023-01-29,Others,608.6543478260869,450
107,2022-11-18,Facebook,546.0427927927927,426
108,2023-01-20,Facebook,597.3794266441821,568
109,2023-07-24,Direct/SEO,884.361483007209,900
110,2024-01-14,Facebook,693.1564059900167,594
111,2023-11-29,Direct/SEO,705.6861826697892,403
112,2022-09-14,Facebook,566.4741641337386,624
113,2022-10-13,Direct/SEO,865.16,811
114,2023-02-05,Direct/SEO,666.8141592920354,208
115,2023-04-10,Others,667.4992700729927,541
116,2024-02-03,Direct/SEO,731.8808016877637,884
117,2022-10-30,Others,473.8005540166205,346
118,2023-09-13,Others,638.9583333333334,309
119,2022-09-15,Facebook,435.68224299065423,204
120,2022-10-04,Others,452.1158878504673,506
121,2023-12-03,Direct/SEO,679.901776384535,927
122,2023-12-29,Others,648.1061173533084,797
123,2022-10-04,Instagram,358.25,16
124,2023-03-02,Direct/SEO,668.7097625329816,363
125,2023-04-26,Direct/SEO,797.951596292482,915
126,2024-01-02,Facebook,621.5363408521304,396
127,2022-12-06,Direct/SEO,725.886524822695,261
128,2023-09-08,Google,726.4846153846154,125
129,2023-10-03,Others,595.0826086956522,228
130,2022-12-12,Others,730.0841121495328,197
131,2023-05-16,Direct/SEO,765.1356837606837,888
132,2023-08-21,Direct/SEO,706.6265060240963,314
133,2023-04-19,Google,594.9142857142857,67
134,2023-07-14,Others,796.2391304347826,181
135,2023-09-08,MyRewards,994.0,44
136,2023-09-16,MyRewards,571.4722222222222,36
137,2023-06-06,Google,745.5894736842105,90
138,2023-01-16,MyRewards,394.2043010752688,93
139,2022-09-19,Others,452.8,163
140,2023-12-10,Direct/SEO,746.889400921659,209
141,2023-01-16,Google,516.2678571428571,54
142,2022-11-22,MyRewards,362.00970873786406,101
143,2023-09-16,Google,630.5673076923077,101
144,2023-04-24,Google,568.56,25
145,2022-10-30,Instagram,484.5135135135135,33
146,2023-11-03,Others,641.2285714285714,68
147,2023-12-29,Affiliate,580.9444444444445,18
148,2023-01-29,Instagram,295.61538461538464,26
149,2023-04-09,Direct/SEO,675.52,69
150,2023-06-06,MyRewards,515.1481481481482,52
151,2023-04-24,MyRewards,358.85714285714283,7
152,2023-04-19,MyRewards,307.3333333333333,12
153,2022-09-19,Instagram,198.0,3
154,2023-04-10,Instagram,334.42105263157896,19
155,2023-03-27,MyRewards,406.25,12
156,2023-09-13,Affiliate,562.25,11
157,2023-07-14,Instagram,596.9090909090909,9
158,2023-10-03,Affiliate,668.8181818181819,11
159,2024-01-12,Google,509.1111111111111,9
160,2024-01-12,MyRewards,1450.0,1
161,2023-07-14,Affiliate,307.5,2
162,2023-12-29,Instagram,494.5,2
163,2022-12-12,Instagram,463.1666666666667,11
164,2024-03-01,Google,547.5,2
165,2023-11-03,Affiliate,765.6666666666666,3
166,2022-12-12,Affiliate,249.5,4
167,2022-09-19,Affiliate,395.0,1
168,2022-10-04,Affiliate,217.0,1
169,2024-02-13,MyRewards,299.0,1
170,2024-03-01,MyRewards,645.0,2
171,2022-09-28,Direct/SEO,6538.722183344997,1225
172,2023-09-14,Direct/SEO,816.4394213381555,510
173,2023-05-29,Direct/SEO,735.5464362850972,868
174,2022-11-06,Direct/SEO,651.4753036437247,1146
175,2023-10-25,Direct/SEO,769.6816,590
176,2023-01-16,Facebook,645.0967184801382,550
177,2024-02-08,Direct/SEO,712.9202312138729,840
178,2023-01-06,Direct/SEO,676.6848049281314,908
179,2023-06-06,Facebook,732.5423476968797,647
180,2023-12-07,Others,546.4346590909091,1053
181,2024-02-29,Direct/SEO,709.817223198594,556
182,2024-01-02,Google,602.1764705882352,67
183,2023-09-08,Facebook,700.4239631336405,828
184,2022-09-17,Direct/SEO,612.9739776951673,515
185,2023-01-11,Others,587.2828947368421,146
186,2023-11-23,Direct/SEO,780.6768100734522,1786
187,2023-12-20,Direct/SEO,734.0458333333333,906
188,2022-09-06,Others,401.1309192200557,350
189,2023-09-16,Facebook,685.6003490401396,562
190,2023-10-28,Others,580.8278278278278,988
191,2022-09-29,Direct/SEO,606.2047038327526,1074
192,2022-09-14,MyRewards,354.48828125,253
193,2022-12-16,Others,499.91743119266056,209
194,2022-09-15,Google,391.80645161290323,59
195,2023-10-12,Others,594.8971332209106,587
196,2023-01-10,Others,680.3191489361702,140
197,2023-01-20,MyRewards,396.4782608695652,92
198,2024-02-06,Others,673.6025641025641,620
199,2023-02-27,Direct/SEO,716.9333333333333,387
200,2022-11-22,Facebook,579.4724409448819,363
201,2023-03-23,Others,649.6,407
202,2022-09-14,Google,373.54545454545456,150
203,2024-01-12,Facebook,680.816091954023,87
204,2023-03-27,Facebook,591.1211678832117,129
205,2023-04-20,Others,677.4961439588689,371
206,2023-04-19,Facebook,503.97350993377484,145
207,2023-02-10,Google,637.5081081081081,33
208,2023-02-10,MyRewards,291.5753424657534,72
209,2023-11-04,Others,589.5436241610738,149
210,2023-04-24,Facebook,744.7954545454545,87
211,2023-04-20,Instagram,326.3225806451613,30
212,2022-09-15,MyRewards,441.2857142857143,76
213,2024-03-01,Facebook,862.1923076923077,26
214,2023-01-20,Google,461.54,50
215,2022-10-01,Direct/SEO,616.7306397306397,277
216,2024-01-16,Others,708.5757575757576,33
217,2023-03-23,Instagram,449.96875,31
218,2022-11-18,MyRewards,383.35483870967744,91
219,2023-04-29,Instagram,395.5,4
220,2024-01-14,Google,628.1623931623932,116
221,2022-11-18,Google,435.88732394366195,65
222,2024-01-02,MyRewards,679.3636363636364,11
223,2023-04-29,Others,766.425925925926,51
224,2024-02-06,Affiliate,823.5625,14
225,2022-12-16,Instagram,329.72727272727275,11
226,2023-10-28,Instagram,349.0,2
227,2024-01-14,MyRewards,612.9375,16
228,2023-04-06,Direct/SEO,512.4285714285714,25
229,2023-11-04,Affiliate,199.0,2
230,2023-12-07,Instagram,827.3333333333334,3
231,2023-10-12,Instagram,489.25,4
232,2023-10-28,Affiliate,407.3333333333333,5
233,2023-10-12,Affiliate,349.0,1
234,2023-03-23,Affiliate,219.0,1
235,2023-11-12,Direct/SEO,616.75,4
236,2024-02-13,Facebook,1125.0,2
237,2023-01-11,Instagram,487.0,3
238,2024-02-06,Instagram,298.5,2
239,2023-12-07,Affiliate,648.0,3
240,2024-01-16,Affiliate,699.0,1
241,2023-01-10,Instagram,395.0,2
242,2023-11-04,Instagram,700.0,1
243,2024-01-16,Instagram,0.0,1
244,2023-01-11,Affiliate,0.0,1
245,2023-10-20,Direct/SEO,846.9446640316205,693
246,2023-07-16,Direct/SEO,1033.2348130841121,763
247,2022-10-07,Direct/SEO,2402.759649122807,519
248,2023-01-28,Direct/SEO,1019.2563559322034,846
249,2023-07-20,Direct/SEO,780.5810546875,944
250,2022-09-19,Google,412.28,70
251,2024-01-12,Others,631.4279661016949,234
252,2023-01-13,Direct/SEO,798.7025495750709,950
253,2023-10-05,Direct/SEO,1084.1585127201565,487
254,2023-01-16,Others,676.1088929219601,534
255,2023-10-04,Direct/SEO,835.3199208443272,1398
256,2022-11-22,Others,478.5730337078652,343
257,2023-01-01,Direct/SEO,939.095139607032,874
258,2023-10-12,Facebook,712.1752411575562,614
259,2022-10-30,MyRewards,378.9561403508772,113
260,2023-10-24,Direct/SEO,786.4871794871794,401
261,2023-03-23,Facebook,570.4013435700575,501
262,2023-06-23,Direct/SEO,945.4669421487604,214
263,2023-04-19,Others,651.0987012987013,75
264,2023-09-16,Others,638.9588313413014,743
265,2023-09-08,Others,599.8150684931506,1302
266,2023-12-07,Facebook,803.0408163265306,478
267,2023-02-11,Direct/SEO,787.1172480620155,949
268,2023-06-06,Others,805.1474530831099,371
269,2023-04-20,Facebook,579.6298507462686,645
270,2022-09-06,Facebook,380.6041666666667,371
271,2023-10-27,Direct/SEO,813.2906474820144,648
272,2022-12-16,Facebook,640.0041766109786,393
273,2022-10-22,Direct/SEO,683.233606557377,230
274,2023-11-04,Facebook,677.9619047619047,104
275,2023-10-28,Facebook,772.5980392156863,705
276,2022-12-12,Google,377.03921568627453,50
277,2022-11-22,Instagram,401.05,39
278,2024-01-16,Facebook,655.9672131147541,60
279,2023-01-29,MyRewards,302.0943396226415,52
280,2023-05-23,Direct/SEO,770.275,181
281,2023-04-29,Facebook,790.2395833333334,86
282,2023-10-03,Google,837.948275862069,54
283,2022-10-04,MyRewards,371.56617647058823,133
284,2023-04-10,Google,633.6028037383178,203
285,2023-01-10,Facebook,723.644578313253,155
286,2023-03-27,Instagram,410.0,8
287,2022-09-19,MyRewards,386.13953488372096,86
288,2023-01-11,Facebook,636.7763157894736,146
289,2023-06-06,Affiliate,646.3571428571429,13
290,2023-04-24,Others,686.7333333333333,45
291,2023-01-29,Google,771.7619047619048,37
292,2023-07-14,Google,681.7692307692307,39
293,2023-09-08,Affiliate,572.1,20
294,2022-12-12,MyRewards,404.82758620689657,29
295,2022-10-04,Google,376.9183673469388,95
296,2023-09-13,Google,644.8026315789474,74
297,2023-12-29,Google,781.3809523809524,40
298,2023-03-27,Others,654.15,63
299,2024-03-01,Others,708.1739130434783,23
300,2023-04-10,MyRewards,415.3246753246753,75
301,2023-09-13,MyRewards,625.6,15
302,2023-09-16,Affiliate,638.6206896551724,29
303,2022-10-30,Google,423.1060606060606,64
304,2023-01-16,Instagram,457.6896551724138,28
305,2024-02-13,Others,703.0,5
306,2023-04-19,Instagram,300.6666666666667,6
307,2024-02-06,Facebook,759.5714285714286,14
308,2023-12-29,MyRewards,534.5,4
309,2024-01-12,Affiliate,997.6666666666666,2
310,2023-07-14,MyRewards,523.125,14
311,2023-04-24,Instagram,259.0,4
312,2022-11-22,Affiliate,707.8333333333334,5
313,2023-06-06,Instagram,386.0769230769231,12
314,2023-09-16,Instagram,538.4,5
315,2023-11-03,Google,1179.3333333333333,3
316,2023-09-08,Instagram,499.0,2
317,2023-04-24,Affiliate,239.0,2
318,2023-10-03,MyRewards,662.0,2
319,2023-01-16,Affiliate,395.0,1
320,2023-03-27,Affiliate,760.0,1
